db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,19603848,19943365,19042131,10130417,0,0,19200348,21226243,23783014,16912335,5780100,18404372,22530379,21163391,12711999,17873854,17974260,13138006,17914021,17590889,19138165
alt_dust_v1.5_10yrs.db,395291,2426813,1696683,2720605,0,0,1487617,2831448,3783101,3880604,1703527,799926,2831448,3405642,4562695,395291,395291,3322016,1530056,2831448,2049354
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0,2831448,1750413,2426813,0,3233534,1487617,2831448,3239903,5174545,966372,395291,2831448,4839153,5202859,968319,1361663,2862444,395291,3783101,1539400
baseline_2snaps_v1.5_10yrs.db,10660423,14278142,13870414,11881681,0,508446,9367012,16983989,19671874,9751005,6627498,7623906,15170487,16774604,14000558,5929084,11829027,12770667,7256308,17483600,9376780
baseline_samefilt_v1.5_10yrs.db,24366328,0,0,1113517,0,1134765,21908103,0,1804361,4220711,1498525,19201768,0,1781475,9380412,18343065,0,0,21075325,0,17608506
baseline_v1.5_10yrs.db,17724608,17956125,20089793,16982488,0,0,19089140,20506053,20223857,11732107,4182911,19447095,20761569,19044555,11182554,20356596,20688588,20052750,20334722,20683287,20122580
bulges_bs_v1.5_10yrs.db,404635,4026254,1201167,1608219,0,0,1226151,3561256,6174586,4988524,3937940,2018678,3396683,4846682,6293896,1027322,2681385,5444252,639430,4941281,1893483
bulges_bulge_wfd_v1.5_10yrs.db,1063225,5405323,1719638,2539968,0,0,1242659,3827488,5859709,6921380,2006206,404635,5727925,7333399,5239764,404635,2074880,3174384,1570311,5673177,1374827
bulges_cadence_bs_v1.5_10yrs.db,795705,3814444,2727621,2281375,0,2020670,1396369,3499587,6884546,2723621,3521937,792527,4951012,5983736,9863954,404635,1264585,3121019,404635,3659995,642608
bulges_cadence_bulge_wfd_v1.5_10yrs.db,1165579,4442527,980841,942422,0,0,1165579,3055796,5689656,7265206,4270147,970192,4743950,3567332,6609643,970192,1960906,3966945,1335516,5598109,1008477
bulges_cadence_i_heavy_v1.5_10yrs.db,795705,4741100,960041,1381835,0,0,1267763,1094745,6289436,6370482,5342549,472058,3550823,2484084,8458449,3383910,404635,3662558,0,4478341,1468927
bulges_i_heavy_v1.5_10yrs.db,927111,2259256,2284811,3023029,0,1427167,706853,3592070,4551518,7060751,6161123,0,3927863,4331108,10719192,2979275,1542578,4028528,387892,4888478,1395991
daily_ddf_v1.5_10yrs.db,15047825,19626588,12397578,10313062,0,795705,15959463,17391577,19767454,14248257,7999009,10359204,17486857,17796809,18533565,10921154,14925917,17404960,11330008,19863365,14047825
dcr_nham1_ug_v1.5_10yrs.db,19841713,6884795,19074851,14129374,0,0,21201981,21261209,24937295,19896113,3686914,19545480,23948771,20301055,16378018,20111204,15816841,16420877,17798021,23035320,17660047
dcr_nham1_ugr_v1.5_10yrs.db,21052264,7799565,15492355,11005229,0,3728652,17645954,14351709,21495166,10490673,3508987,19345899,20716331,17630794,20169450,19559492,19147283,17305882,16388452,20212490,17208231
dcr_nham1_ugri_v1.5_10yrs.db,18346280,6585341,13258640,12914477,0,0,19912032,16979239,21424526,14770157,7893884,17916369,17814247,13875656,21302731,18162455,11840460,17899754,15879225,23858865,18848247
dcr_nham2_ug_v1.5_10yrs.db,20673477,1527035,12015121,13266760,0,0,19407694,9148134,16808622,15639176,6339358,17455326,23990372,15322084,16503703,17163742,14364459,15067803,17629440,22795207,19735432
dcr_nham2_ugr_v1.5_10yrs.db,21315308,3447472,5342514,9092798,0,0,19344261,5936939,15312401,10508706,400260,19777257,17457053,16642212,20533602,17582888,16970270,16546371,18017797,21047161,16310272
dcr_nham2_ugri_v1.5_10yrs.db,20670161,1637637,9295062,4116625,0,407813,20866672,9825609,19900285,12050958,3767055,19205446,9849082,17052120,11572816,19010587,12902176,17292243,16258986,24229290,17383881
descddf_v1.5_10yrs.db,17879961,21555788,18694471,8118026,0,0,18731278,21765193,21591542,10763899,7227848,17795875,21480184,14651806,14033971,16899244,11805201,14492470,15396044,22331579,17807106
filterdist_indx1_v1.5_10yrs.db,36609014,37690975,21633965,1716574,0,1075900,32815443,11328076,19556956,16769095,1999449,0,933036,24033408,16712084,0,15108745,12130363,4966401,15429013,6693354
filterdist_indx2_v1.5_10yrs.db,22609981,19740182,22797466,17276768,0,0,22123987,25088815,26821644,16657201,2938025,22890428,24631742,21805884,10544378,23336495,19961398,19479206,23438410,23805447,22955810
filterdist_indx3_v1.5_10yrs.db,17068862,30450638,0,561737,0,0,35560636,32368455,28130090,16488546,4372072,15821528,827993,15047027,6320664,9338275,19196109,16085484,14309680,18961206,13808827
filterdist_indx4_v1.5_10yrs.db,37737642,29738598,36657144,6688532,0,0,16804795,0,4061330,7425703,339546,15682687,0,24756850,18821688,10071238,22972495,16164679,13886519,15284696,14721680
filterdist_indx5_v1.5_10yrs.db,5508177,13130718,16348908,7976843,0,52297,2402769,16272068,23865201,8658979,6496616,0,19269363,3781699,16027657,0,14892639,18513607,27198625,29872428,26513912
filterdist_indx6_v1.5_10yrs.db,16232405,24782633,6690703,8489583,0,0,17598918,12375096,19522587,5498368,0,16927794,27198625,22659186,4371090,26513912,24914936,12028186,17942682,11459554,13437373
filterdist_indx7_v1.5_10yrs.db,28074051,30020133,25749047,16930740,0,0,27198625,25100582,23219041,10840383,5192136,21455216,16746342,19374459,15281718,18711622,23647489,19745828,20586116,21903692,19266609
filterdist_indx8_v1.5_10yrs.db,18324016,18341840,19777992,10786974,0,658590,16670405,20065002,21141686,10944237,855585,12854301,23264290,11248742,9580911,22118652,21254279,22290656,24886786,25302659,25295621
footprint_add_mag_cloudsv1.5_10yrs.db,19465874,20673121,20223963,14226745,0,0,18328629,20835304,24352176,16481956,7035419,19367104,21553243,19292800,19052804,16844539,16579710,18031149,18176360,23382949,17059216
