db,g,i,r,u,y,z
agnddf_v1.5_10yrs.db,24.54275851565745,23.465667998937974,24.06287775435468,23.572623972415062,22.046015715852278,22.813377143311815
alt_dust_v1.5_10yrs.db,24.431300903286868,23.334641598681824,23.88473213786795,23.416789172833273,21.895687673432494,22.686616070557083
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.3854808235885,23.25480799517698,23.85628128186469,23.422424111780845,21.912193357727222,22.617972466341932
baseline_2snaps_v1.5_10yrs.db,24.495435399522325,23.44111016061148,24.03087553325731,23.375913702352044,22.03505558237843,22.79435693915824
baseline_samefilt_v1.5_10yrs.db,24.479860079804325,23.47883338997682,24.02600884313414,23.581044125021467,22.037447113523633,22.76697137061456
baseline_v1.5_10yrs.db,24.540343594413997,23.457337528948358,24.06194009767599,23.58379117259184,22.047598217918118,22.81284773669382
bulges_bs_v1.5_10yrs.db,24.476977826032215,23.468488616731122,24.004493937390443,23.51053394548112,22.01443328771558,22.791350543104915
bulges_bulge_wfd_v1.5_10yrs.db,24.4959094390955,23.456577933722592,24.013729329576094,23.533174159684854,22.015062922097467,22.791340583198583
bulges_cadence_bs_v1.5_10yrs.db,24.509527890998097,23.436257749443854,24.01655697427419,23.543127767401757,22.028244547516174,22.79905228738229
bulges_cadence_bulge_wfd_v1.5_10yrs.db,24.48477697672137,23.45505306743992,24.00408551951032,23.52953860608767,22.014970047123818,22.78147642718404
bulges_cadence_i_heavy_v1.5_10yrs.db,24.49477550782387,23.41115740727505,24.015819178917052,23.544021921316244,22.0297938747458,22.78139628694433
bulges_i_heavy_v1.5_10yrs.db,24.48061329620686,23.398535173702136,24.004787078522057,23.49847805719368,22.025693844815482,22.795199622071458
daily_ddf_v1.5_10yrs.db,24.549263780544177,23.462625942652465,24.063534251215884,23.586984230760233,22.052587964537775,22.807538641467488
dcr_nham1_ug_v1.5_10yrs.db,24.420077483103416,23.47776407157562,24.054821519626415,23.467613791164503,22.041995762397608,22.806350759007074
dcr_nham1_ugr_v1.5_10yrs.db,24.449719632397866,23.461843611192823,24.014828522798666,23.446920626887486,22.045772309753655,22.821507830501474
dcr_nham1_ugri_v1.5_10yrs.db,24.45409131255839,23.39448784950789,24.016030525833692,23.4467105673423,22.046105115176907,22.79995931065773
dcr_nham2_ug_v1.5_10yrs.db,24.341535157882202,23.484558051596583,24.036860425201517,23.3589702579053,22.04635034681847,22.804924082952084
dcr_nham2_ugr_v1.5_10yrs.db,24.377869709016856,23.458406164763502,23.94939491933897,23.346806457292175,22.032404308273723,22.81912814838979
dcr_nham2_ugri_v1.5_10yrs.db,24.379727787798874,23.341843273704015,23.96779729925129,23.359806932443767,22.04532833056292,22.800247485215912
descddf_v1.5_10yrs.db,24.545824979210373,23.479330955805253,24.059842413443068,23.577774449493276,22.058985043974648,22.814680003152912
filterdist_indx1_v1.5_10yrs.db,24.539867204457664,23.383398772808647,24.0158302876625,23.583536303278265,22.014349768268062,22.792489944683528
filterdist_indx2_v1.5_10yrs.db,24.53137604197613,23.480145500746847,24.057532496199105,23.563515664067754,22.038364057333773,22.817160222572742
filterdist_indx3_v1.5_10yrs.db,24.526482744582033,23.38344411823124,24.063963933355584,23.560708173423976,22.027650969087514,22.803432625870656
filterdist_indx4_v1.5_10yrs.db,24.541768847171173,23.39173275526977,24.037555079198984,23.587316921493752,22.038175561744133,22.822677259290376
filterdist_indx5_v1.5_10yrs.db,24.54041376666889,23.545321595726083,24.071925902171856,23.546869740039032,22.046426982859323,22.816485962119813
filterdist_indx6_v1.5_10yrs.db,24.544909540315714,23.447193326428284,24.05344408678822,23.558265733281235,22.03048412407449,22.81777461467285
filterdist_indx7_v1.5_10yrs.db,24.564470205623508,23.437497709636673,24.061387504366138,23.606243512896167,22.0354432706076,22.811366815505213
filterdist_indx8_v1.5_10yrs.db,24.508100125306505,23.483174983532685,24.0612533759731,23.559299530969383,22.038290578374067,22.814440132572663
footprint_add_mag_cloudsv1.5_10yrs.db,24.550534279097157,23.47782176099455,24.0700920976423,23.58839382517934,22.037126232696156,22.811869230214747
footprint_big_sky_dustv1.5_10yrs.db,24.42236322658214,23.365536510038126,23.94789272151629,23.404032710075104,21.93555148634755,22.67794393250511
footprint_big_sky_nouiyv1.5_10yrs.db,24.251800780996795,23.587603557353745,24.187637031022838,23.54083126738679,21.908539821334035,22.553667447244628
footprint_big_skyv1.5_10yrs.db,24.373705700925175,23.590973134159416,23.541433821753373,23.401274391389585,,23.08967989164475
footprint_big_wfdv1.5_10yrs.db,24.477647516471496,23.43866917727202,23.999890184839085,23.513017453403435,22.002160237289363,22.768781889330437
footprint_bluer_footprintv1.5_10yrs.db,24.532935504586455,23.355012005545532,24.041018137872815,23.598974377502373,22.03414021460356,22.796211973471298
footprint_gp_smoothv1.5_10yrs.db,24.543701698077328,23.47390967041075,24.06754896881498,23.57169726533428,22.045504305595674,22.816585364532514
footprint_newAv1.5_10yrs.db,,23.043738365347515,23.528859365746765,,21.794398078079602,22.68060414196365
footprint_newBv1.5_10yrs.db,24.04293071330084,22.583190880637602,23.815868388755582,,21.916009809146658,22.851028668253363
footprint_no_gp_northv1.5_10yrs.db,24.55041781209477,23.47456105936022,24.059556987852332,23.58402215787457,22.054157609397247,22.829155788978852
footprint_standard_goalsv1.5_10yrs.db,24.529376984069483,23.457171231692225,24.05266682811485,23.565570463328722,22.04342698077882,22.813418912294825
footprint_stuck_rollingv1.5_10yrs.db,24.50529707981242,23.372376376478282,23.974463994236594,23.5502752863703,21.974510056400373,22.721842372508267
goodseeing_gi_v1.5_10yrs.db,24.50694298253076,23.475768105737494,24.046350730885273,23.566397683674698,22.02258471267526,22.82902570081651
goodseeing_gri_v1.5_10yrs.db,24.52287777448286,23.468150544890328,24.04882802284711,23.58919409394064,22.007664153727504,22.823676024695924
goodseeing_griz_v1.5_10yrs.db,24.533523117780383,23.456288386014425,24.043071054488323,23.58128045440997,22.034356769899343,22.821299314098262
goodseeing_gz_v1.5_10yrs.db,24.52932301985297,23.47266255429031,24.0412264868244,23.574777939633126,22.021600353363336,22.821812391517945
goodseeing_i_v1.5_10yrs.db,24.515133902686486,23.492554954602646,24.064233489194496,23.554431697661727,22.00429771163109,22.832118496872056
greedy_footprint_v1.5_10yrs.db,24.53196014601171,23.440805306903215,24.03840011687263,23.566150405203764,22.04696182667823,22.81762749145772
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.38901740359647,23.29834192292686,23.882363782142495,23.437306217662112,21.895611890544682,22.619343855260357
rolling_mod2_sdf_0.10_v1.5_10yrs.db,24.5295848563236,23.391289736312824,24.001238908791322,23.585349305629137,22.001281733066694,22.766195286658633
rolling_mod2_sdf_0.20_v1.5_10yrs.db,24.535330680508856,23.397432735271014,24.0074752987687,23.574956550745483,21.996299954084037,22.756008409438373
rolling_mod3_sdf_0.10_v1.5_10yrs.db,24.514421900084553,23.360454735100003,23.967722655482433,23.56775758540708,21.962670549649566,22.729015981224656
rolling_mod3_sdf_0.20_v1.5_10yrs.db,24.518447656263877,23.360845102831068,23.966570079954142,23.557102001486758,21.970983275470594,22.730443370521435
rolling_mod6_sdf_0.10_v1.5_10yrs.db,24.450610899548835,23.279001436708874,23.90244100858311,23.523297536703446,21.9589646322463,22.689636446087157
rolling_mod6_sdf_0.20_v1.5_10yrs.db,24.48602679976285,23.307985464320463,23.928257175062587,23.529661088953894,21.961795236882708,22.68169493808931
short_exp_2ns_1expt_v1.5_10yrs.db,24.434591885044593,23.424510104320692,24.01151350616551,23.357607188592944,21.97972781655522,22.760183900428846
short_exp_2ns_5expt_v1.5_10yrs.db,24.422179242560922,23.416196707161852,23.996511653931492,23.35877743344367,21.992570839040187,22.745597295952763
short_exp_5ns_1expt_v1.5_10yrs.db,24.033027463944467,23.323616137360116,23.919878456808462,22.155531779115538,21.909049900309007,22.662718542693078
short_exp_5ns_5expt_v1.5_10yrs.db,23.97715765032994,23.32353817955497,23.923437902716145,22.575176045078305,21.92772094254758,22.660649803204116
spiders_v1.5_10yrs.db,24.54699701572863,23.46518489973706,24.056174332570677,23.58064558878788,22.049055386893784,22.813157742527714
third_obs_pt120v1.5_10yrs.db,24.533831672774426,23.481587275118205,24.055115705360144,23.56065758716439,22.020164344638598,22.79584168002627
third_obs_pt15v1.5_10yrs.db,24.540343594413997,23.457337528948358,24.06194009767599,23.58379117259184,22.047598217918118,22.81284773669382
