db,g,i,r,u,y,z
agnddf_v1.5_10yrs.db,,,,,,
alt_dust_v1.5_10yrs.db,24.35322159186951,23.033235876343674,23.790551496078752,23.367259429967287,21.736085320309794,22.4679750557665
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.34983597218426,23.050279740897153,23.753291218550082,23.355826296807717,21.641067477335092,22.466669688097646
baseline_2snaps_v1.5_10yrs.db,,,,,,
baseline_samefilt_v1.5_10yrs.db,,,,,,
baseline_v1.5_10yrs.db,,,,,,
bulges_bs_v1.5_10yrs.db,,,,,,
bulges_bulge_wfd_v1.5_10yrs.db,,,,,,
bulges_cadence_bs_v1.5_10yrs.db,,,,,,
bulges_cadence_bulge_wfd_v1.5_10yrs.db,,,,,,
bulges_cadence_i_heavy_v1.5_10yrs.db,,,,,,
bulges_i_heavy_v1.5_10yrs.db,,,,,,
daily_ddf_v1.5_10yrs.db,,,,,,
dcr_nham1_ug_v1.5_10yrs.db,,,,,,
dcr_nham1_ugr_v1.5_10yrs.db,,,,,,
dcr_nham1_ugri_v1.5_10yrs.db,,,,,,
dcr_nham2_ug_v1.5_10yrs.db,,,,,,
dcr_nham2_ugr_v1.5_10yrs.db,,,,,,
dcr_nham2_ugri_v1.5_10yrs.db,,,,,,
descddf_v1.5_10yrs.db,,,,,,
filterdist_indx1_v1.5_10yrs.db,,,,,,
filterdist_indx2_v1.5_10yrs.db,,,,,,
filterdist_indx3_v1.5_10yrs.db,,,,,,
filterdist_indx4_v1.5_10yrs.db,,,,,,
filterdist_indx5_v1.5_10yrs.db,,,,,,
filterdist_indx6_v1.5_10yrs.db,,,,,,
filterdist_indx7_v1.5_10yrs.db,,,,,,
filterdist_indx8_v1.5_10yrs.db,,,,,,
footprint_add_mag_cloudsv1.5_10yrs.db,,,,,,
footprint_big_sky_dustv1.5_10yrs.db,24.28931265143954,22.956392548656144,23.78668860015785,23.29353345276693,21.672813372748067,22.43971507990254
footprint_big_sky_nouiyv1.5_10yrs.db,24.27922732788287,22.913906582097447,23.718697881941125,23.243081128890154,21.66322380694001,22.415256020095992
footprint_big_skyv1.5_10yrs.db,24.228481423122716,22.90089338400283,23.69181722978964,23.178671653941027,21.64211662034519,22.37914876118127
footprint_big_wfdv1.5_10yrs.db,,,,,,
footprint_bluer_footprintv1.5_10yrs.db,,,,,,
footprint_gp_smoothv1.5_10yrs.db,,,,,,
footprint_newAv1.5_10yrs.db,24.372627456171234,22.990701443827955,23.77292390023588,23.232617513249544,21.793939018371002,22.511382502820304
footprint_newBv1.5_10yrs.db,24.34054407566652,23.02592164259817,23.761969471706838,23.285401263653014,21.76566788240206,22.49805905116082
footprint_no_gp_northv1.5_10yrs.db,,,,,,
footprint_standard_goalsv1.5_10yrs.db,,,,,,
footprint_stuck_rollingv1.5_10yrs.db,,,,,,
goodseeing_gi_v1.5_10yrs.db,,,,,,
goodseeing_gri_v1.5_10yrs.db,,,,,,
goodseeing_griz_v1.5_10yrs.db,,,,,,
goodseeing_gz_v1.5_10yrs.db,,,,,,
